"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 06:10:55 GMT 2024","Tue Jun 04 06:11:08 GMT 2024","12890","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","creatingProjectsWithSameNameShouldNotBeAvailable","creatingProjectsWithSameNameShouldNotBeAvailable","Creating projects with same name should not be available"
"passed","Tue Jun 04 06:09:32 GMT 2024","Tue Jun 04 06:09:32 GMT 2024","223","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyIdShouldNotBeAvailable","creatingBuildConfigurationWithEmptyIdShouldNotBeAvailable","Creating build configuration with empty id should not be available"
"passed","Tue Jun 04 06:09:41 GMT 2024","Tue Jun 04 06:09:41 GMT 2024","250","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","Project admin should not have rights to create build config to another project"
"passed","Tue Jun 04 06:09:58 GMT 2024","Tue Jun 04 06:10:35 GMT 2024","36546","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationShouldBeAvailable","creatingBuildConfigurationShouldBeAvailable","Creating build configuration should be available"
"passed","Tue Jun 04 06:09:11 GMT 2024","Tue Jun 04 06:09:12 GMT 2024","529","Surefire suite","Surefire test","com.example.teamcity.setup.AgentSetupTest","com.example.teamcity.setup.AgentSetupTest","setupAgentTest","setupAgentTest","Setup agent"
"passed","Tue Jun 04 06:09:33 GMT 2024","Tue Jun 04 06:09:33 GMT 2024","193","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available"
"passed","Tue Jun 04 06:09:32 GMT 2024","Tue Jun 04 06:09:32 GMT 2024","154","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyNameShouldNotBeAvailable","creatingBuildConfigurationWithEmptyNameShouldNotBeAvailable","Creating build configuration with empty name should not be available"
"passed","Tue Jun 04 06:09:37 GMT 2024","Tue Jun 04 06:09:37 GMT 2024","26","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithEmptyNameShouldNotBeAvailable","creatingProjectWithEmptyNameShouldNotBeAvailable","Creating project with empty name should not be available"
"passed","Tue Jun 04 06:10:35 GMT 2024","Tue Jun 04 06:10:47 GMT 2024","11920","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available"
"passed","Tue Jun 04 06:09:38 GMT 2024","Tue Jun 04 06:09:38 GMT 2024","86","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectsWithSameIdShouldNotBeAvailable","creatingProjectsWithSameIdShouldNotBeAvailable","Creating projects with same id should not be available"
"passed","Tue Jun 04 06:09:35 GMT 2024","Tue Jun 04 06:09:35 GMT 2024","62","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectShouldBeAvailable","creatingProjectShouldBeAvailable","Creating project should be available"
"passed","Tue Jun 04 06:06:56 GMT 2024","Tue Jun 04 06:07:54 GMT 2024","57776","Surefire suite","Surefire test","com.example.teamcity.setup.TeamcitySetupTest","com.example.teamcity.setup.TeamcitySetupTest","startUpTest","startUpTest","Startup TeamCity server and accept license"
"passed","Tue Jun 04 06:09:42 GMT 2024","Tue Jun 04 06:09:42 GMT 2024","139","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminTestShouldHaveRightsToCreateProject","systemAdminTestShouldHaveRightsToCreateProject","System admin test should have rights to create project"
"passed","Tue Jun 04 06:09:34 GMT 2024","Tue Jun 04 06:09:34 GMT 2024","233","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithStepsShouldBeAvailable","creatingBuildConfigurationWithStepsShouldBeAvailable","Creating build configuration with steps should be available"
"passed","Tue Jun 04 06:09:43 GMT 2024","Tue Jun 04 06:09:43 GMT 2024","70","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have rights to create project"
"passed","Tue Jun 04 06:09:28 GMT 2024","Tue Jun 04 06:09:31 GMT 2024","3236","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationShouldBeAvailable","creatingBuildConfigurationShouldBeAvailable","Creating build configuration should be available"
"passed","Tue Jun 04 06:10:47 GMT 2024","Tue Jun 04 06:10:55 GMT 2024","7983","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject","Authorized user should be able create new project"
"passed","Tue Jun 04 06:09:40 GMT 2024","Tue Jun 04 06:09:40 GMT 2024","566","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","Project admin should have rights to create build config to his project"
"passed","Tue Jun 04 06:09:37 GMT 2024","Tue Jun 04 06:09:37 GMT 2024","260","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","Creating project with same name in different parents should be available"
"passed","Tue Jun 04 06:09:36 GMT 2024","Tue Jun 04 06:09:36 GMT 2024","59","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithEmptyIdShouldNotBeAvailable","creatingProjectWithEmptyIdShouldNotBeAvailable","Creating project with empty id should not be available"
