"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 17:28:29 GMT 2024","Thu May 30 17:28:32 GMT 2024","3539","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationShouldBeAvailable","creatingBuildConfigurationShouldBeAvailable","Creating build configuration should be available"
"passed","Thu May 30 17:28:42 GMT 2024","Thu May 30 17:28:42 GMT 2024","151","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminTestShouldHaveRightsToCreateProject","systemAdminTestShouldHaveRightsToCreateProject","System admin test should have rights to create project"
"passed","Thu May 30 17:28:35 GMT 2024","Thu May 30 17:28:36 GMT 2024","144","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectInAnotherProjectShouldBeAvailable","creatingProjectInAnotherProjectShouldBeAvailable","Creating project in another project should be available"
"passed","Thu May 30 17:28:34 GMT 2024","Thu May 30 17:28:34 GMT 2024","218","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available"
"passed","Thu May 30 17:29:44 GMT 2024","Thu May 30 17:29:52 GMT 2024","7515","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject","Authorized user should be able create new project"
"passed","Thu May 30 17:29:33 GMT 2024","Thu May 30 17:29:44 GMT 2024","10862","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available"
"passed","Thu May 30 17:28:38 GMT 2024","Thu May 30 17:28:38 GMT 2024","154","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","Creating project with same name in different parents should be available"
"passed","Thu May 30 17:28:13 GMT 2024","Thu May 30 17:28:13 GMT 2024","285","Surefire suite","Surefire test","com.example.teamcity.setup.AgentSetupTest","com.example.teamcity.setup.AgentSetupTest","setupAgentTest","setupAgentTest","Setup agent"
"passed","Thu May 30 17:28:40 GMT 2024","Thu May 30 17:28:40 GMT 2024","488","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","Project admin should have rights to create build config to his project"
"passed","Thu May 30 17:28:39 GMT 2024","Thu May 30 17:28:39 GMT 2024","56","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectsWithSameNameShouldNotBeAvailable","creatingProjectsWithSameNameShouldNotBeAvailable","Creating projects with same name should not be available"
